reaction,unique_aer_id_number,original_receive_date,number_of_animals_affected,primary_reporter,number_of_animals_treated,drug,onset_date,report_id,type_of_information,receiver.organization,receiver.street_address,receiver.city,receiver.state,receiver.postal_code,receiver.country,health_assessment_prior_to_exposure.assessed_by,animal.species,animal.gender,animal.age.min,animal.age.max,animal.age.unit,animal.age.qualifier,animal.weight.min,animal.weight.max,animal.weight.unit,animal.weight.qualifier,animal.breed.is_crossbred,animal.breed.breed_component,animal.reproductive_status,animal.female_animal_physiological_status,outcome
"[{'veddra_version': '11', 'veddra_term_code': '2025', 'veddra_term_name': 'Hind limb paralysis'}, {'veddra_version': '11', 'veddra_term_code': '981', 'veddra_term_name': 'Death by euthanasia'}, {'veddra_version': '2', 'veddra_term_code': '99594', 'veddra_term_name': 'PR-BONE(S), LESION(S)'}]",USA-USFDACVM-2015-US-066370,19870630,3,Other,19,"[{'route': 'Subcutaneous', 'brand_name': 'MSK', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N135008'}, 'atc_vet_code': 'QP54AA01', 'active_ingredients': [{'name': 'Ivermectin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870630,N135008,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Pig,Mixed,5.00,5.00,Month,Measured,59.870,59.870,Kilogram,Measured,false,Crossbred Porcine/Pig,,,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '2043', 'veddra_term_name': 'Residues in milk'}]",USA-USFDACVM-2015-US-048935,19870505,7,Other,7,"[{'route': 'Intramammary', 'brand_name': 'MSK', 'dosage_form': 'Gel', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N097222'}, 'atc_vet_code': 'QJ51DB08', 'active_ingredients': [{'name': 'Cephapirin Sodium', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870505,N097222,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Cattle,Female,.00,.00,C17998,Measured,,,,Unknown,false,Cattle (unknown),,,
"[{'veddra_version': '11', 'veddra_term_code': '89', 'veddra_term_name': 'Injection site necrosis'}, {'veddra_version': '11', 'veddra_term_code': '943', 'veddra_term_name': 'Skin slough'}]",USA-USFDACVM-2015-US-029254,19870618,5,Other,10,"[{'route': 'Subcutaneous', 'brand_name': 'MSK', 'dosage_form': 'Solution', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N030438'}, 'atc_vet_code': 'QN02AB73', 'active_ingredients': [{'name': 'Droperidol, Fentanyl', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870618,N030438,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Rabbit,Female,6.00,6.00,Month,Measured,3.630,3.630,Kilogram,Measured,false,Rabbit (unknown),,,
"[{'veddra_version': '11', 'veddra_term_code': '302', 'veddra_term_name': 'Diarrhoea'}, {'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}, {'veddra_version': '11', 'veddra_term_code': '499', 'veddra_term_name': 'Icterus'}, {'veddra_version': '11', 'veddra_term_code': '1043', 'veddra_term_name': 'Weight loss'}, {'veddra_version': '11', 'veddra_term_code': '1942', 'veddra_term_name': 'Elevated liver enzymes'}, {'veddra_version': '2', 'veddra_term_code': '99627', 'veddra_term_name': 'PR-KIDNEY(S), LESION(S)'}, {'veddra_version': '2', 'veddra_term_code': '99629', 'veddra_term_name': 'PR-LIVER, LESION(S)'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}, {'veddra_version': '2', 'veddra_term_code': '99679', 'veddra_term_name': 'PR-SPLEEN, LESION(S)'}]",USA-USFDACVM-2015-US-068312,19870618,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870618,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,3.00,,Year,Measured,16.780,,Kilogram,Measured,false,Poodle (unspecified),Neutered,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '263', 'veddra_term_name': 'Abdominal pain'}, {'veddra_version': '11', 'veddra_term_code': '304', 'veddra_term_name': 'Loose stool'}, {'veddra_version': '11', 'veddra_term_code': '932', 'veddra_term_name': 'Dermatitis'}, {'veddra_version': '11', 'veddra_term_code': '949', 'veddra_term_name': 'Skin hyperaemia'}]",USA-USFDACVM-2015-US-032905,19870413,50,Other,50,"[{'route': 'Oral', 'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'atc_vet_code': 'QP52AB03', 'active_ingredients': [{'name': 'Dichlorvos', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870413,N043606,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Pig,Mixed,.00,.00,C17998,Measured,31.750,31.750,Kilogram,Measured,false,Crossbred Porcine/Pig,,,
"[{'veddra_version': '11', 'veddra_term_code': '686', 'veddra_term_name': 'Twitching'}, {'veddra_version': '11', 'veddra_term_code': '854', 'veddra_term_name': 'Tachypnoea'}, {'veddra_version': '11', 'veddra_term_code': '118', 'veddra_term_name': 'Hyperactivity'}]",USA-USFDACVM-2015-US-045379,19870602,0,Other,0,"[{'route': 'Intramuscular', 'brand_name': 'MSK', 'dosage_form': 'Suspension', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N065110'}, 'atc_vet_code': 'QJ01CE09', 'active_ingredients': [{'name': 'Penicillin G Procaine', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870602,N065110,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Horse,Male,12.00,,Year,Measured,498.950,,Kilogram,Measured,false,Thoroughbred,,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '163', 'veddra_term_name': 'Leucocytosis'}, {'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}, {'veddra_version': '11', 'veddra_term_code': '499', 'veddra_term_name': 'Icterus'}, {'veddra_version': '11', 'veddra_term_code': '1024', 'veddra_term_name': 'Depression'}, {'veddra_version': '11', 'veddra_term_code': '2047', 'veddra_term_name': 'Elevated BUN'}, {'veddra_version': '11', 'veddra_term_code': '2049', 'veddra_term_name': 'Elevated AST'}, {'veddra_version': '11', 'veddra_term_code': '2052', 'veddra_term_name': 'Elevated total bilirubin'}, {'veddra_version': '11', 'veddra_term_code': '2055', 'veddra_term_name': 'Elevated SAP'}, {'veddra_version': '11', 'veddra_term_code': '2269', 'veddra_term_name': 'Elevated lactic acid dehydrogenase (LDH)'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}, {'veddra_version': '2', 'veddra_term_code': '99629', 'veddra_term_name': 'PR-LIVER, LESION(S)'}, {'veddra_version': '2', 'veddra_term_code': '99658', 'veddra_term_name': 'PR-PANCREAS, LESION(S)'}]",USA-USFDACVM-2015-US-068292,19870522,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870522,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,7.00,,Year,Measured,14.510,,Kilogram,Measured,false,Sheepdog - Beauce (Beauceron),,,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '996', 'veddra_term_name': 'Anorexia'}, {'veddra_version': '11', 'veddra_term_code': '1024', 'veddra_term_name': 'Depression'}, {'veddra_version': '11', 'veddra_term_code': '2049', 'veddra_term_name': 'Elevated AST'}, {'veddra_version': '11', 'veddra_term_code': '2050', 'veddra_term_name': 'Elevated ALT'}, {'veddra_version': '11', 'veddra_term_code': '2055', 'veddra_term_name': 'Elevated SAP'}, {'veddra_version': '11', 'veddra_term_code': '2269', 'veddra_term_name': 'Elevated lactic acid dehydrogenase (LDH)'}]",USA-USFDACVM-2015-US-068288,19870521,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870521,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,10.00,,Year,Measured,29.480,,Kilogram,Measured,false,Crossbred Canine/dog,Neutered,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}]",USA-USFDACVM-2015-US-047029,19870416,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'atc_vet_code': 'QP51AH03', 'active_ingredients': [{'name': 'Monensin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870416,N095735,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Horse,Male,11.00,,Year,Measured,521.630,,Kilogram,Measured,false,Thoroughbred,,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '1043', 'veddra_term_name': 'Weight loss'}, {'veddra_version': '11', 'veddra_term_code': '1024', 'veddra_term_name': 'Depression'}, {'veddra_version': '11', 'veddra_term_code': '119', 'veddra_term_name': 'Restlessness'}]",USA-USFDACVM-2015-US-068298,19870604,2,Other,5,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870604,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Mixed,18.00,18.00,Month,Measured,,,,Unknown,false,Borzoi,,,
"[{'veddra_version': '11', 'veddra_term_code': '263', 'veddra_term_name': 'Abdominal pain'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}, {'veddra_version': '11', 'veddra_term_code': '996', 'veddra_term_name': 'Anorexia'}, {'veddra_version': '11', 'veddra_term_code': '1208', 'veddra_term_name': 'Dehydration'}]",USA-USFDACVM-2015-US-063251,19870514,64,Other,64,"[{'route': 'Oral', 'brand_name': 'MSK', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N126050'}, 'atc_vet_code': 'QA07AA92', 'active_ingredients': [{'name': 'Apramycin Sulfate', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870514,N126050,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Pig,Mixed,3.00,3.00,Week,Measured,5.440,5.440,Kilogram,Measured,false,Crossbred Porcine/Pig,,,"[{'medical_status': 'Died', 'number_of_animals_affected': '4'}]"
"[{'veddra_version': '11', 'veddra_term_code': '142', 'veddra_term_name': 'Anaemia NOS'}, {'veddra_version': '11', 'veddra_term_code': '163', 'veddra_term_name': 'Leucocytosis'}, {'veddra_version': '11', 'veddra_term_code': '2052', 'veddra_term_name': 'Elevated total bilirubin'}, {'veddra_version': '11', 'veddra_term_code': '2055', 'veddra_term_name': 'Elevated SAP'}, {'veddra_version': '11', 'veddra_term_code': '2266', 'veddra_term_name': 'Elevated cholesterol (total)'}, {'veddra_version': '11', 'veddra_term_code': '2269', 'veddra_term_name': 'Elevated lactic acid dehydrogenase (LDH)'}, {'veddra_version': '2', 'veddra_term_code': '99233', 'veddra_term_name': 'COOMBS TEST POSITIVE'}]",USA-USFDACVM-2015-US-068268,19870424,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870424,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,3.00,,Year,Measured,13.610,,Kilogram,Measured,false,Sheepdog - Beauce (Beauceron),Neutered,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}, {'veddra_version': '11', 'veddra_term_code': '1009', 'veddra_term_name': 'Cyanosis'}, {'veddra_version': '11', 'veddra_term_code': '658', 'veddra_term_name': 'Recumbency'}]",USA-USFDACVM-2015-US-032919,19870409,8,Other,52,"[{'route': 'Oral', 'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'atc_vet_code': 'QP52AB03', 'active_ingredients': [{'name': 'Dichlorvos', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870409,N043606,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Pig,Mixed,6.00,6.00,Week,Measured,12.700,12.700,Kilogram,Measured,false,Crossbred Porcine/Pig,,,"[{'medical_status': 'Died', 'number_of_animals_affected': '6'}]"
